1,6,7,12,17,18,20,22,23,27,32,34,38,40,41,42,43,44,49
0,6,7,14,16,20,21,22,23,27,28,29,30,32,36,39,42,45,49
5,6,9,11,12,16,17,19,24,27,29,31,37,39,42,43,44,45,47
8,11,13,16,17,23,28,29,30,34,36,37,39,43,44,46,47,48,49
6,10,12,16,17,19,20,21,23,24,25,27,35,38,39,42,46,47,49
2,6,7,11,14,17,18,20,30,31,32,33,34,36,41,42,43,45,47
0,1,2,4,5,9,10,15,21,22,25,26,27,28,31,33,35,38,48
0,1,5,8,10,11,14,15,17,19,26,27,28,35,36,37,41,46,48
3,7,9,12,17,18,20,24,25,26,28,30,36,38,40,41,46,47,49
2,6,8,10,11,13,14,20,24,25,29,30,31,35,38,39,40,41,46
4,6,7,9,12,14,19,22,23,24,29,32,33,36,37,43,44,46,47
2,3,5,7,9,15,17,18,20,21,24,28,31,32,37,41,42,46,49
0,2,4,8,10,13,14,17,23,25,26,27,29,30,32,35,46,47,48
3,9,12,14,17,18,20,22,25,32,34,35,36,37,40,43,47,48,49
1,5,7,9,10,12,13,16,17,19,20,26,29,30,32,36,40,46,47
6,7,11,16,18,26,27,28,29,31,33,34,35,37,38,42,43,44,48
1,2,3,4,14,15,18,19,21,23,25,26,31,35,36,39,43,44,45
0,2,3,4,5,7,8,11,12,13,14,19,20,24,27,34,37,42,48
0,5,8,11,13,15,16,22,23,24,25,27,29,36,39,43,45,46,49
2,4,7,10,14,16,17,21,25,26,27,28,29,34,38,42,43,47,49
0,1,4,5,8,9,11,13,14,17,21,25,28,30,31,37,41,43,46
1,4,6,11,16,19,20,23,24,26,28,29,31,32,33,39,42,43,44
0,1,6,10,13,18,24,27,28,29,32,33,34,37,38,39,40,44,47
0,1,3,4,10,12,16,18,21,24,25,26,34,37,40,41,42,46,47
2,4,8,9,10,11,17,18,21,22,23,26,29,30,33,35,37,42,45
4,6,8,9,12,13,16,18,19,20,23,29,30,33,34,37,38,41,47
6,7,8,12,14,15,16,19,21,23,24,32,33,34,40,45,46,47,48
0,1,2,4,6,7,12,15,17,18,19,22,28,31,38,40,44,46,48
1,3,6,7,8,11,15,19,20,21,22,27,30,32,38,42,46,48,49
1,2,3,9,10,12,14,15,18,19,21,22,24,25,40,41,44,45,46
1,3,5,8,9,12,14,20,24,25,28,31,32,38,39,43,45,48,49
2,5,6,9,11,15,16,20,21,27,30,33,36,38,39,41,44,45,49
0,1,5,10,11,12,13,14,21,22,26,28,30,40,43,44,45,46,49
5,6,10,15,21,22,24,25,26,31,34,35,37,39,41,43,45,47,49
0,3,5,13,15,17,19,22,23,25,26,33,39,40,42,44,45,47,49
4,6,7,9,12,13,15,16,24,33,36,39,40,41,42,45,46,48,49
1,3,5,7,8,10,13,14,16,18,31,35,37,38,40,41,43,45,48
2,3,7,10,11,13,15,17,20,22,23,24,25,33,36,38,41,47,48
0,4,6,8,9,15,19,22,25,27,28,30,31,36,37,39,40,42,45
1,2,3,4,9,16,18,21,22,30,31,33,34,35,38,40,42,44,46
0,8,9,13,14,22,23,26,27,29,32,34,35,36,38,39,44,45,48
0,5,7,8,9,11,20,23,25,29,31,33,35,36,37,43,47,48,49
0,1,2,4,5,11,15,17,19,21,23,24,28,34,35,38,39,44,47
0,2,3,5,10,13,15,16,18,19,20,21,30,32,33,36,41,44,45
0,2,3,10,15,16,21,22,27,29,31,32,34,39,40,42,43,48,49
1,2,5,16,18,24,26,29,30,31,32,33,34,35,36,38,40,43,48
3,4,7,8,9,10,11,12,14,18,20,23,26,27,28,29,32,35,39
2,3,4,5,8,10,12,13,14,19,22,23,25,26,33,34,37,41,42
3,6,7,12,13,15,17,26,27,28,30,35,36,37,40,41,44,45,49
0,1,3,4,8,11,13,18,19,28,30,31,32,33,34,35,41,44,48
