node,extreme,spl
0,49,1
1,0,2
1,49,2
2,0,1
2,49,2
3,0,2
3,49,3
4,0,2
4,49,3
5,0,2
5,49,3
6,0,3
6,49,2
7,0,2
7,49,2
8,0,2
8,49,2
9,0,2
9,49,1
10,0,1
10,49,2
11,0,2
11,49,2
12,0,2
12,49,2
13,0,2
13,49,3
14,0,3
14,49,3
15,0,3
15,49,3
16,0,3
16,49,3
17,0,2
17,49,3
18,0,2
18,49,3
19,0,2
19,49,2
20,0,1
20,49,2
21,0,2
21,49,2
22,0,2
22,49,1
23,0,2
23,49,2
24,0,3
24,49,2
25,0,3
25,49,2
26,0,3
26,49,2
27,0,3
27,49,2
28,0,2
28,49,2
29,0,2
29,49,1
30,0,2
30,49,2
31,0,1
31,49,2
32,0,2
32,49,2
33,0,2
33,49,3
34,0,2
34,49,3
35,0,3
35,49,3
36,0,3
36,49,2
37,0,3
37,49,2
38,0,3
38,49,2
39,0,2
39,49,1
40,0,2
40,49,2
41,0,2
41,49,2
42,0,1
42,49,2
43,0,2
43,49,3
44,0,2
44,49,2
45,0,2
45,49,2
46,0,3
46,49,2
47,0,2
47,49,1
48,0,2
48,49,2
49,0,1
