node,extreme,spl
0,49,2
1,0,1
1,49,3
2,0,3
2,49,2
3,0,2
3,49,3
4,0,3
4,49,3
5,0,3
5,49,3
6,0,2
6,49,3
7,0,3
7,49,3
8,0,3
8,49,3
9,0,3
9,49,2
10,0,3
10,49,2
11,0,2
11,49,3
12,0,3
12,49,3
13,0,3
13,49,3
14,0,3
14,49,3
15,0,3
15,49,2
16,0,3
16,49,3
17,0,2
17,49,3
18,0,3
18,49,3
19,0,3
19,49,3
20,0,3
20,49,3
21,0,2
21,49,3
22,0,3
22,49,2
23,0,1
23,49,3
24,0,3
24,49,1
25,0,2
25,49,3
26,0,1
26,49,1
27,0,3
27,49,3
28,0,2
28,49,2
29,0,3
29,49,3
30,0,3
30,49,3
31,0,3
31,49,2
32,0,3
32,49,1
33,0,2
33,49,3
34,0,3
34,49,2
35,0,3
35,49,3
36,0,1
36,49,3
37,0,3
37,49,3
38,0,3
38,49,3
39,0,2
39,49,3
40,0,3
40,49,1
41,0,3
41,49,2
42,0,3
42,49,2
43,0,2
43,49,3
44,0,3
44,49,3
45,0,3
45,49,3
46,0,3
46,49,3
47,0,3
47,49,3
48,0,2
48,49,2
49,0,2
