1,7,8,20,21,22,23,37,39,40,42,45,47,49
0,3,9,11,12,13,14,17,24,25,29,33,42,49
10,11,14,18,21,22,24,32,37,39,40,42,44,48
1,7,8,9,15,16,20,28,29,31,37,41,43,45
9,18,19,20,21,26,27,28,35,37,38,41,43,48
6,8,11,14,16,18,19,20,21,25,27,29,32,42
5,14,16,17,18,21,23,30,33,36,37,42,44,45
0,3,8,11,12,14,21,25,26,31,32,33,36,37
0,3,5,7,12,13,14,15,17,18,21,41,47,48
1,3,4,11,15,19,24,25,31,32,35,39,41,45
2,11,15,17,19,23,25,27,30,33,36,43,46,49
1,2,5,7,9,10,15,19,24,29,31,35,38,39
1,7,8,15,19,20,23,25,26,30,34,39,45,49
1,8,16,20,27,28,32,34,36,38,41,42,43,48
1,2,5,6,7,8,16,22,24,25,26,30,40,41
3,8,9,10,11,12,20,23,26,33,38,40,43,49
3,5,6,13,14,18,26,33,34,37,38,40,44,45
1,6,8,10,18,22,24,31,34,35,43,44,45,48
2,4,5,6,8,16,17,21,24,29,42,46,47,49
4,5,9,10,11,12,29,30,36,39,43,45,48,49
0,3,4,5,12,13,15,23,28,33,34,35,44,46
0,2,4,5,6,7,8,18,22,29,33,36,37,39
0,2,14,17,21,26,28,32,35,36,39,41,43,48
0,6,10,12,15,20,26,32,35,37,38,43,47,49
1,2,9,11,14,17,18,29,31,34,35,37,42,48
1,5,7,9,10,12,14,26,27,35,40,41,46,47
4,7,12,14,15,16,22,23,25,27,29,36,40,47
4,5,10,13,25,26,28,29,32,34,40,42,45,49
3,4,13,20,22,27,29,30,31,33,34,40,46,47
1,3,5,11,18,19,21,24,26,27,28,30,34,49
6,10,12,14,19,28,29,31,32,33,36,37,38,44
3,7,9,11,17,24,28,30,33,35,38,39,44,48
2,5,7,9,13,22,23,27,30,33,34,37,41,46
1,6,7,10,15,16,20,21,28,30,31,32,41,43
12,13,16,17,20,24,27,28,29,32,38,40,43,45
4,9,11,17,20,22,23,24,25,31,42,44,46,47
6,7,10,13,19,21,22,26,30,37,39,40,41,44
0,2,3,4,6,7,16,21,23,24,30,32,36,43
4,11,13,15,16,23,30,31,34,40,41,45,46,48
0,2,9,11,12,19,21,22,31,36,40,44,45,47
0,2,14,15,16,25,26,27,28,34,36,38,39,46
3,4,8,9,13,14,22,25,32,33,36,38,44,47
0,1,2,5,6,13,18,24,27,35,44,46,48,49
3,4,10,13,15,17,19,22,23,33,34,37,47,48
2,6,16,17,20,30,31,35,36,39,41,42,46,49
0,3,6,9,12,16,17,19,27,34,38,39,46,49
10,18,20,25,28,32,35,38,40,42,44,45,47,48
0,8,18,23,25,26,28,35,39,41,43,46,48,49
2,4,8,13,17,19,22,24,31,38,42,43,46,47
0,1,10,12,15,18,19,23,27,29,42,44,45,47
