2,8,15,20,31,37,46
2,3,6,22,33,36,38
0,1,3,4,26,42,43
1,2,4,5,14,21,23
2,3,5,6,16,28,44
3,4,6,7,8,11,22
1,4,5,7,8,39,49
5,6,8,9,26,32,43
0,5,6,7,9,10,25
7,8,10,11,28,47,48
8,9,11,12,17,21,35
5,9,10,12,13,20,47
10,11,13,14,15,18,35
11,12,14,15,18,32,35
3,12,13,15,16,19,43
0,12,13,14,16,17,49
4,14,15,17,18,27,44
10,15,16,18,19,39,44
12,13,16,17,19,20,47
14,17,18,20,21,30,48
0,11,18,19,21,22,41
3,10,19,20,22,23,49
1,5,20,21,23,24,30
3,21,22,24,25,37,41
22,23,25,26,29,31,41
8,23,24,26,27,34,36
2,7,24,25,27,28,42
16,25,26,28,29,33,46
4,9,26,27,29,30,31
24,27,28,30,31,38,49
19,22,28,29,31,32,38
0,24,28,29,30,32,33
7,13,30,31,33,34,40
1,27,31,32,34,35,48
25,32,33,35,36,37,49
10,12,13,33,34,36,37
1,25,34,35,37,38,45
0,23,34,35,36,38,39
1,29,30,36,37,39,40
6,17,37,38,40,41,45
32,38,39,41,42,46,48
20,23,24,39,40,42,43
2,26,40,41,43,44,49
2,7,14,41,42,44,45
4,16,17,42,43,45,46
36,39,43,44,46,47,48
0,27,40,44,45,47,48
9,11,18,45,46,48,49
9,19,33,40,45,46,47
6,15,21,29,34,42,47
