node,extreme,spl
0,49,20
1,0,1
1,49,20
2,0,1
2,49,20
3,0,1
3,49,19
4,0,2
4,49,18
5,0,2
5,49,19
6,0,3
6,49,17
7,0,3
7,49,18
8,0,4
8,49,17
9,0,4
9,49,16
10,0,5
10,49,17
11,0,5
11,49,15
12,0,6
12,49,16
13,0,6
13,49,16
14,0,6
14,49,14
15,0,7
15,49,15
16,0,8
16,49,14
17,0,7
17,49,13
18,0,8
18,49,14
19,0,9
19,49,13
20,0,8
20,49,12
21,0,9
21,49,12
22,0,10
22,49,11
23,0,9
23,49,11
24,0,10
24,49,10
25,0,10
25,49,11
26,0,11
26,49,9
27,0,11
27,49,10
28,0,12
28,49,9
29,0,12
29,49,8
30,0,13
30,49,8
31,0,14
31,49,8
32,0,13
32,49,7
33,0,14
33,49,7
34,0,14
34,49,6
35,0,15
35,49,6
36,0,16
36,49,5
37,0,15
37,49,5
38,0,16
38,49,4
39,0,16
39,49,5
40,0,17
40,49,3
41,0,17
41,49,4
42,0,18
42,49,3
43,0,18
43,49,2
44,0,19
44,49,2
45,0,19
45,49,2
46,0,19
46,49,1
47,0,20
47,49,1
48,0,20
48,49,1
49,0,20
