node,extreme,spl
0,49,5
1,0,2
1,49,4
2,0,1
2,49,5
3,0,3
3,49,4
4,0,3
4,49,4
5,0,2
5,49,4
6,0,4
6,49,3
7,0,4
7,49,2
8,0,3
8,49,3
9,0,5
9,49,4
10,0,4
10,49,4
11,0,5
11,49,4
12,0,4
12,49,5
13,0,4
13,49,3
14,0,4
14,49,4
15,0,3
15,49,4
16,0,4
16,49,2
17,0,3
17,49,3
18,0,2
18,49,4
19,0,4
19,49,1
20,0,1
20,49,4
21,0,2
21,49,3
22,0,3
22,49,2
23,0,3
23,49,4
24,0,4
24,49,4
25,0,4
25,49,3
26,0,4
26,49,5
27,0,4
27,49,4
28,0,5
28,49,5
29,0,5
29,49,4
30,0,3
30,49,4
31,0,4
31,49,4
32,0,4
32,49,3
33,0,2
33,49,3
34,0,3
34,49,2
35,0,4
35,49,1
36,0,1
36,49,4
37,0,4
37,49,2
38,0,3
38,49,3
39,0,2
39,49,4
40,0,4
40,49,3
41,0,4
41,49,4
42,0,3
42,49,4
43,0,4
43,49,4
44,0,4
44,49,4
45,0,4
45,49,3
46,0,3
46,49,3
47,0,4
47,49,2
48,0,5
48,49,1
49,0,5
