8,10,11,23,32,33,34,35,43,44,49
3,18,19,20,25,26,31,34,35,42,44
7,14,15,18,27,31,34,42,46,47,48
1,10,11,14,17,23,24,36,39,45,49
7,12,14,15,17,25,33,36,39,41,45
16,17,19,21,29,30,33,34,42,43,45
7,8,9,18,20,23,25,27,37,43,48
2,4,6,10,12,22,23,24,25,32,45
0,6,12,14,15,18,22,23,26,29,38
6,14,21,25,29,30,32,35,37,40,48
0,3,7,16,24,27,29,35,38,42,49
0,3,13,16,18,20,22,28,30,39,41
4,7,8,13,24,25,27,35,40,43,46
11,12,15,16,19,24,34,40,46,48,49
2,3,4,8,9,21,23,38,42,47,49
2,4,8,13,20,21,35,36,37,38,45
5,10,11,13,17,22,26,33,42,46,48
3,4,5,16,18,21,22,34,38,40,49
1,2,6,8,11,17,24,40,41,44,47
1,5,13,21,22,27,31,32,33,38,47
1,6,11,15,25,28,31,36,38,43,47
5,9,14,15,17,19,22,27,30,44,47
7,8,11,16,17,19,21,28,29,35,39
0,3,6,7,8,14,32,34,37,40,42
3,7,10,12,13,18,29,41,43,46,47
1,4,6,7,9,12,20,30,33,38,48
1,8,16,27,30,37,39,41,42,45,49
2,6,10,12,19,21,26,30,33,44,46
11,20,22,30,32,34,36,37,38,46,47
5,8,9,10,22,24,31,33,37,39,43
5,9,11,21,25,26,27,28,31,37,43
1,2,19,20,29,30,34,39,40,46,49
0,7,9,19,23,28,39,40,44,45,48
0,4,5,16,19,25,27,29,35,36,44
0,1,2,5,13,17,23,28,31,36,40
0,1,9,10,12,15,22,33,40,43,47
3,4,15,20,28,33,34,41,42,48,49
6,9,15,23,26,28,29,30,38,44,46
8,10,14,15,17,19,20,25,28,37,41
3,4,11,22,26,29,31,32,41,45,48
9,12,13,17,18,23,31,32,34,35,41
4,11,18,24,26,36,38,39,40,45,47
1,2,5,10,14,16,23,26,36,43,47
0,5,6,12,20,24,29,30,35,42,46
0,1,18,21,27,32,33,37,45,46,48
3,4,5,7,15,26,32,39,41,44,49
2,12,13,16,24,27,28,31,37,43,44
2,14,18,19,20,21,24,28,35,41,42
2,6,9,13,16,25,32,36,39,44,49
0,3,10,13,14,17,26,31,36,45,48
