2,7,20,25,31,40,48
2,3,15,26,28,32,34
0,1,3,4,15,34,35
1,2,4,5,13,30,35
2,3,5,6,14,43,49
3,4,6,7,18,22,45
4,5,7,8,12,32,33
0,5,6,8,9,11,37
6,7,9,10,16,17,26
7,8,10,11,19,39,43
8,9,11,12,23,46,48
7,9,10,12,13,34,49
6,10,11,13,14,20,29
3,11,12,14,15,29,48
4,12,13,15,16,20,24
1,2,13,14,16,17,47
8,14,15,17,18,31,42
8,15,16,18,19,21,40
5,16,17,19,20,37,38
9,17,18,20,21,24,41
0,12,14,18,19,21,22
17,19,20,22,23,44,49
5,20,21,23,24,27,33
10,21,22,24,25,41,45
14,19,22,23,25,26,46
0,23,24,26,27,28,36
1,8,24,25,27,28,49
22,25,26,28,29,39,46
1,25,26,27,29,30,36
12,13,27,28,30,31,42
3,28,29,31,32,36,37
0,16,29,30,32,33,49
1,6,30,31,33,34,44
6,22,31,32,34,35,39
1,2,11,32,33,35,36
2,3,33,34,36,37,38
25,28,30,34,35,37,38
7,18,30,35,36,38,39
18,35,36,37,39,40,49
9,27,33,37,38,40,41
0,17,38,39,41,42,45
19,23,39,40,42,43,47
16,29,40,41,43,44,47
4,9,41,42,44,45,48
21,32,42,43,45,46,48
5,23,40,43,44,46,47
10,24,27,44,45,47,48
15,41,42,45,46,48,49
0,10,13,43,44,46,47
4,11,21,26,31,38,47
