node,extreme,spl
0,49,2
1,0,3
1,49,3
2,0,2
2,49,2
3,0,3
3,49,3
4,0,2
4,49,2
5,0,3
5,49,3
6,0,3
6,49,3
7,0,1
7,49,3
8,0,3
8,49,2
9,0,3
9,49,1
10,0,3
10,49,3
11,0,3
11,49,3
12,0,1
12,49,1
13,0,3
13,49,3
14,0,2
14,49,3
15,0,3
15,49,1
16,0,2
16,49,3
17,0,1
17,49,3
18,0,4
18,49,2
19,0,2
19,49,3
20,0,3
20,49,3
21,0,3
21,49,3
22,0,3
22,49,3
23,0,3
23,49,2
24,0,3
24,49,3
25,0,3
25,49,4
26,0,2
26,49,3
27,0,3
27,49,3
28,0,3
28,49,1
29,0,3
29,49,2
30,0,2
30,49,3
31,0,1
31,49,3
32,0,3
32,49,3
33,0,3
33,49,2
34,0,3
34,49,2
35,0,3
35,49,3
36,0,2
36,49,3
37,0,3
37,49,3
38,0,2
38,49,3
39,0,3
39,49,3
40,0,3
40,49,2
41,0,2
41,49,3
42,0,4
42,49,3
43,0,3
43,49,3
44,0,3
44,49,3
45,0,3
45,49,3
46,0,3
46,49,2
47,0,3
47,49,2
48,0,2
48,49,3
49,0,2
