4,8,15,18,19,25,28,34,36,38,41,42,47
2,6,8,9,15,17,26,27,31,35,39,43,49
1,4,7,9,14,16,18,21,23,24,29,36,37
4,6,11,12,15,18,24,30,31,32,39,41,48
0,2,3,5,15,33,35,37,41,42,43,44,45
4,7,8,12,19,20,23,37,38,45,46,48,49
1,3,9,16,17,18,22,24,29,40,42,46,49
2,5,19,23,24,25,27,38,40,41,44,45,49
0,1,5,9,11,12,13,14,20,24,27,28,33
1,2,6,8,11,25,28,39,40,42,43,45,46
13,14,16,17,18,21,26,28,32,34,35,44,49
3,8,9,12,16,19,22,25,35,38,40,41,47
3,5,8,11,18,29,31,32,33,38,43,44,49
8,10,14,22,25,29,30,31,34,36,42,45,47
2,8,10,13,15,18,23,27,29,34,35,43,48
0,1,3,4,14,20,22,25,38,40,43,47,49
2,6,10,11,17,19,21,26,33,35,38,39,40
1,6,10,16,18,22,23,26,27,32,40,42,45
0,2,3,6,10,12,14,17,28,39,44,46,47
0,5,7,11,16,28,30,31,32,33,36,47,48
5,8,15,21,24,26,27,28,30,31,33,39,46
2,10,16,20,28,30,36,37,41,42,43,44,48
6,11,13,15,17,28,29,32,33,35,37,44,47
2,5,7,14,17,24,25,28,30,31,34,35,41
2,3,6,7,8,20,23,30,34,35,37,38,40
0,7,9,11,13,15,23,32,33,37,40,45,47
1,10,16,17,20,27,28,33,36,37,40,44,48
1,7,8,14,17,20,26,29,34,35,36,41,49
0,8,9,10,18,19,20,21,22,23,26,31,39
2,6,12,13,14,22,27,31,32,33,42,43,47
3,13,19,20,21,23,24,34,41,43,44,47,48
1,3,12,13,19,20,23,28,29,36,39,46,48
3,10,12,17,19,22,25,29,37,39,40,45,48
4,8,12,16,19,20,22,25,26,29,44,46,49
0,10,13,14,23,24,27,30,38,42,47,48,49
1,4,10,11,14,16,22,23,24,27,41,42,49
0,2,13,19,21,26,27,31,37,38,39,40,49
2,4,5,21,22,24,25,26,32,36,39,43,44
0,5,7,11,12,15,16,24,34,36,39,41,49
1,3,9,16,18,20,28,31,32,36,37,38,44
6,7,9,11,15,16,17,24,25,26,32,36,45
0,3,4,7,11,21,23,27,30,35,38,43,46
0,4,6,9,13,17,21,29,34,35,45,46,48
1,4,9,12,14,15,21,29,30,37,41,45,46
4,7,10,12,18,21,22,26,30,33,37,39,46
4,5,7,9,13,17,25,32,40,42,43,46,48
5,6,9,18,20,31,33,41,42,43,44,45,47
0,11,13,15,18,19,22,25,29,30,34,46,48
3,5,14,19,21,26,30,31,32,34,42,45,47
1,5,6,7,10,12,15,27,33,34,35,36,38
