1,3,34,49
0,2,4,26
1,3,4,5
0,2,5,6
1,2,5,7
2,3,4,8
3,7,8,9
4,6,8,10
5,6,7,9
6,8,10,11
7,9,12,13
9,12,13,14
10,11,14,15
10,11,15,16
11,12,15,17
12,13,14,18
13,17,18,19
14,16,20,49
15,16,19,21
16,18,21,22
17,21,22,23
18,19,20,22
19,20,21,24
20,24,25,26
22,23,25,26
23,24,27,28
1,23,24,27
25,26,28,29
25,27,30,31
27,30,31,32
28,29,31,32
28,29,30,34
29,30,33,35
32,34,35,36
0,31,33,37
32,33,36,38
33,35,38,39
34,38,39,40
35,36,37,41
36,37,40,41
37,39,42,43
38,39,43,44
40,43,44,45
40,41,42,46
41,42,45,47
42,44,46,48
43,45,47,48
44,46,48,49
45,46,47,49
0,17,47,48
