2,14,30,39
2,3,19,47
0,1,3,5
1,2,4,23
3,6,7,35
2,7,8,9
4,8,34,49
4,5,9,10
5,6,9,11
5,7,8,11
7,11,12,13
8,9,10,12
10,11,13,14
10,12,15,16
0,12,17,49
13,16,17,18
13,15,17,19
14,15,16,18
15,17,19,20
1,16,18,21
18,21,22,23
19,20,22,45
20,21,24,30
3,20,24,25
22,23,25,26
23,24,27,48
24,27,28,29
25,26,28,30
26,27,29,31
26,28,32,48
0,22,27,32
28,32,33,34
29,30,31,33
31,32,35,36
6,31,36,37
4,33,36,37
33,34,35,39
34,35,38,40
37,39,40,46
0,36,38,42
37,38,41,43
40,42,43,44
39,41,43,44
40,41,42,45
41,42,46,47
21,43,46,49
38,44,45,47
1,44,46,48
25,29,47,49
6,14,45,48
