node,extreme,spl
0,49,3
1,0,3
1,49,3
2,0,3
2,49,3
3,0,3
3,49,3
4,0,3
4,49,3
5,0,1
5,49,3
6,0,3
6,49,1
7,0,2
7,49,2
8,0,3
8,49,2
9,0,3
9,49,3
10,0,3
10,49,3
11,0,3
11,49,3
12,0,2
12,49,3
13,0,2
13,49,3
14,0,2
14,49,3
15,0,1
15,49,3
16,0,3
16,49,1
17,0,3
17,49,2
18,0,2
18,49,2
19,0,3
19,49,1
20,0,2
20,49,2
21,0,3
21,49,2
22,0,3
22,49,3
23,0,1
23,49,3
24,0,3
24,49,3
25,0,2
25,49,1
26,0,2
26,49,2
27,0,2
27,49,2
28,0,3
28,49,3
29,0,1
29,49,2
30,0,1
30,49,2
31,0,2
31,49,3
32,0,2
32,49,2
33,0,2
33,49,3
34,0,2
34,49,3
35,0,3
35,49,2
36,0,2
36,49,3
37,0,2
37,49,2
38,0,2
38,49,2
39,0,2
39,49,2
40,0,3
40,49,3
41,0,2
41,49,2
42,0,3
42,49,3
43,0,3
43,49,2
44,0,2
44,49,1
45,0,3
45,49,2
46,0,3
46,49,2
47,0,3
47,49,3
48,0,2
48,49,2
49,0,3
