node,extreme,spl
0,49,3
1,0,1
1,49,3
2,0,2
2,49,3
3,0,3
3,49,3
4,0,2
4,49,3
5,0,3
5,49,3
6,0,3
6,49,2
7,0,3
7,49,3
8,0,3
8,49,1
9,0,3
9,49,2
10,0,3
10,49,3
11,0,2
11,49,2
12,0,2
12,49,3
13,0,3
13,49,3
14,0,1
14,49,3
15,0,3
15,49,3
16,0,3
16,49,2
17,0,2
17,49,3
18,0,3
18,49,3
19,0,3
19,49,1
20,0,3
20,49,3
21,0,3
21,49,2
22,0,2
22,49,2
23,0,3
23,49,3
24,0,3
24,49,3
25,0,3
25,49,3
26,0,3
26,49,3
27,0,2
27,49,3
28,0,3
28,49,3
29,0,3
29,49,3
30,0,3
30,49,2
31,0,2
31,49,3
32,0,3
32,49,3
33,0,3
33,49,1
34,0,1
34,49,3
35,0,3
35,49,3
36,0,2
36,49,2
37,0,2
37,49,3
38,0,3
38,49,3
39,0,3
39,49,2
40,0,3
40,49,3
41,0,3
41,49,3
42,0,2
42,49,3
43,0,3
43,49,3
44,0,3
44,49,3
45,0,1
45,49,2
46,0,3
46,49,2
47,0,3
47,49,2
48,0,2
48,49,1
49,0,3
