4,10,11,16,18,41,42
2,10,14,17,29,30,35
1,3,6,39,41,45,46
2,5,9,12,15,18,20
0,5,13,24,26,29,45
3,4,19,22,35,36,47
2,8,11,13,23,37,47
9,10,13,36,44,46,49
6,12,28,29,31,35,38
3,7,11,23,29,32,38
0,1,7,15,31,33,47
0,6,9,17,20,22,48
3,8,13,16,17,27,33
4,6,7,12,30,32,44
1,18,22,26,36,37,40
3,10,24,25,28,40,48
0,12,25,35,37,40,46
1,11,12,19,24,34,46
0,3,14,28,34,43,49
5,17,23,30,40,41,49
3,11,21,30,31,36,37
20,29,33,40,42,43,44
5,11,14,28,33,39,44
6,9,19,25,26,33,41
4,15,17,37,38,41,43
15,16,23,29,34,36,39
4,14,23,31,42,46,48
12,28,32,36,41,47,48
8,15,18,22,27,30,46
1,4,8,9,21,25,49
1,13,19,20,28,38,42
8,10,20,26,32,34,39
9,13,27,31,39,40,43
10,12,21,22,23,43,45
17,18,25,31,44,45,47
1,5,8,16,43,44,48
5,7,14,20,25,27,38
6,14,16,20,24,47,49
8,9,24,30,36,42,45
2,22,25,31,32,42,49
14,15,16,19,21,32,45
0,2,19,23,24,27,44
0,21,26,30,38,39,47
18,21,24,32,33,35,46
7,13,21,22,34,35,41
2,4,33,34,38,40,48
2,7,16,17,26,28,43
5,6,10,27,34,37,42
11,15,26,27,35,45,49
7,18,19,29,37,39,48
