,f1,f2,f3,f4,f5
0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.1102268419836783,0.993906456013998
2,0.0,0.0,0.0,0.24586250290078382,0.9693047145595456
3,0.0,0.0,0.0,0.4050454430809619,0.9142965542094903
4,0.0,0.0,0.0,0.5629326347183072,0.8265027820697914
5,0.0,0.0,0.0,0.7062526825947059,0.7079598493755007
6,0.0,0.0,0.0,0.8305961142421607,0.556875295740279
7,0.0,0.0,0.0,0.9164827141100694,0.40007428652369137
8,0.0,0.0,0.0,0.9692410444638259,0.24611338388367243
9,0.0,0.0,0.0,0.9937264810385401,0.11183774355180756
10,0.0,0.0,0.0,1.0,0.0
11,0.0,0.0,0.12431971565736166,0.2779643559791149,0.9525126902587644
12,0.0,0.0,0.11799940571889025,0.12348939218905092,0.9853052878508098
13,0.0,0.0,0.1528451483874565,0.7688972611614497,0.6208344081901691
14,0.0,0.0,0.12401935021548995,0.9839312376144275,0.12844656639501334
15,0.0,0.0,0.11160903852710616,0.0,0.993752193717858
16,0.0,0.0,0.15692356659149553,0.6163714308498742,0.7716613593282245
17,0.0,0.0,0.1509297272006616,0.44671356670146184,0.8818544135921713
18,0.0,0.0,0.15168195525511,0.884657403537354,0.4408785125366557
19,0.0,0.0,0.14350035779714398,0.951935751669186,0.270602978561053
20,0.0,0.0,0.11659169592559367,0.9931799315537915,0.0
21,0.0,0.0,0.27259467084266603,0.29735583704991275,0.9150254923227683
22,0.0,0.0,0.25165351753666454,0.13706812063724627,0.9580620216960888
23,0.0,0.0,0.33011110384438264,0.6701174838970948,0.6648076540579764
24,0.0,0.0,0.32513587960691065,0.492947520187195,0.8070250319126016
25,0.0,0.0,0.24266227230033485,0.0,0.9701108295457989
26,0.0,0.0,0.32561511480568106,0.8082987469833873,0.49053841096816164
27,0.0,0.0,0.3093282551416758,0.9018587288601114,0.30160713477938567
28,0.0,0.0,0.2802327083301743,0.949975227907718,0.13790103532466533
29,0.0,0.0,0.2529477981811415,0.9674799281614646,0.0
30,0.0,0.0,0.4341468814015416,0.31605554433277266,0.8435789105150925
31,0.0,0.0,0.40439557247569013,0.1427783773542575,0.9033706636382123
32,0.0,0.0,0.3910587784425254,0.0,0.9203657054687773
33,0.0,0.0,0.5120586334246577,0.5215892999196678,0.6824518724016975
34,0.0,0.0,0.485809271773299,0.8123475315314048,0.3226156218690129
35,0.0,0.0,0.5142644298151677,0.6896427215985738,0.5098284150309714
36,0.0,0.0,0.44498380780171076,0.8830420365109551,0.14908444770959453
37,0.0,0.0,0.3998890953710644,0.9165635337516499,0.0
38,0.0,0.0,0.5965044952510251,0.31963607942795746,0.7362167913551306
39,0.0,0.0,0.5550272974644583,0.15486990589905647,0.8172882057855216
40,0.0,0.0,0.6111461001167203,0.7768286863547276,0.15178154159354204
41,0.0,0.0,0.6813502374007356,0.5210749774504491,0.5140454472796885
42,0.0,0.0,0.6615243427673049,0.6777307386793273,0.32103985698890797
43,0.0,0.0,0.5532877473103436,0.8329901972269814,0.0
44,0.0,0.0,0.5856212226060983,0.0,0.8105848404907031
45,0.0,0.0,0.740671610674271,0.31412873627556354,0.5939096751081755
46,0.0,0.0,0.6980378756768097,0.15183924766901555,0.699777083783053
47,0.0,0.0,0.7979009215352862,0.5082486530882345,0.32409477941975007
48,0.0,0.0,0.709491246948955,0.7047142474101236,0.0
49,0.0,0.0,0.7720587624085026,0.6181232554188032,0.1478137628866553
