<<<<<<< HEAD
0.261346 0.788983
0.268905 0.782069
0.15308 0.834509
0.15308 0.834509
0.15308 0.834447
0.15308 0.834447
0.15308 0.834322
0.164463 0.828273
0.164463 0.828273
0.164463 0.828273
0.164463 0.827619
0.164463 0.827619
0.164463 0.827527
0.164463 0.827414
0.164463 0.827246
0.164463 0.827227
0.164463 0.827155
0.164463 0.827155
0.164463 0.827155
0.164463 0.827155
0.164463 0.827155
0.164463 0.827155
0.164463 0.826922
0.164463 0.826922
0.164463 0.82659
0.164463 0.82659
0.164463 0.82659
0.164463 0.82659
0.172388 0.825691
0.172388 0.825691
0.172388 0.825691
0.172388 0.825691
0.172388 0.825691
0.164463 0.826568
0.164463 0.826568
0.164463 0.826568
0.164463 0.827155
0.164463 0.827515
0.164463 0.827515
0.148645 0.821739
0.148645 0.821739
0.148645 0.821739
0.148645 0.821739
0.148645 0.821739
0.148645 0.821739
0.148645 0.821739
0.147756 0.83568
0.147756 0.83568
0.147756 0.83568
0.147756 0.83568
0.120494 0.849839
0.120494 0.849839
0.120494 0.849839
0.120494 0.849839
0.120494 0.849839
0.120494 0.849839
0.120494 0.849674
0.120494 0.849674
0.120494 0.849674
0.120494 0.849674
0.120494 0.849674
0.120494 0.849674
0.120494 0.849674
0.120494 0.850317
0.120494 0.850317
0.120494 0.85026
0.120494 0.850225
0.120494 0.85011
0.120494 0.849839
0.120494 0.849897
0.120494 0.850032
0.120494 0.850011
0.113896 0.849639
0.113896 0.849639
0.113896 0.849639
0.113896 0.849639
0.109077 0.857236
0.0736275 0.885605
0.109077 0.857236
0.109077 0.857236
0.109077 0.857236
0.109077 0.857236
0.109077 0.857236
0.109077 0.857236
0.109077 0.857236
0.109077 0.857236
0.109077 0.857236
0.109077 0.857236
0.0161764 0.946387
0.0161764 0.946387
0.0161764 0.946387
0.0319579 0.926673
0.0319579 0.926673
0.0319579 0.926673
0.0319579 0.926655
0.0319579 0.926642
0.0319579 0.926642
0.0319579 0.926642
0.0319579 0.926629
0.0319579 0.926629
0.0319579 0.926629
0.0549625 0.901541
0.0549625 0.901541
0.0549625 0.901541
0.0549625 0.901541
0.0549625 0.901541
0.0549625 0.901541
0.0549625 0.901541
0.0549625 0.901541
0.0549625 0.901541
0.0484547 0.906281
0.0484547 0.906281
0.0484547 0.906281
0.0484547 0.906281
0.041947 0.911565
0.041947 0.911566
0.041947 0.911566
0.041947 0.911566
0.041947 0.911566
0.0369524 0.919062
0.0369524 0.919062
0.0369524 0.919062
0.0369524 0.919062
0.0337414 0.919447
0.0337414 0.919447
0.0305304 0.920054
0.0305304 0.920054
0.0305304 0.92012
0.0305304 0.92012
0.0305304 0.92012
0.0305304 0.92012
0.0141004 0.948355
0.0141004 0.948355
0.0141004 0.948355
0.0203865 0.937132
0.0141004 0.948355
0.0141004 0.948355
0.0141004 0.948355
0.0141004 0.948355
0.0141004 0.948355
0.0109573 0.954773
0.0109573 0.954773
0.0109573 0.954773
0.00781428 0.961959
0.00781428 0.961959
0.00781428 0.962055
0.00781428 0.962055
0.00781428 0.962055
0.00781428 0.962055
0.00781428 0.962055
=======
0.767655 0.200983
0.755137 0.212124
0.744116 0.213386
0.744116 0.213386
0.744116 0.213386
0.73083 0.22181
0.725703 0.223857
0.720577 0.225984
0.714111 0.227742
0.714111 0.227742
0.695502 0.233326
0.682227 0.234353
0.682227 0.234353
0.672923 0.23727
0.672923 0.23727
0.65915 0.242114
0.656365 0.243153
0.656365 0.243153
0.650245 0.248949
0.650245 0.248949
0.639815 0.252943
0.638906 0.254887
0.633174 0.257484
0.622224 0.260313
0.622224 0.260313
0.619439 0.263959
0.619141 0.267105
0.618047 0.267725
0.618047 0.267725
0.618047 0.267725
>>>>>>> c8242cad8b8f5936dcf9878307b5d3424765bff7
