6,17,27,31,37,40,41,45,47,48
5,15,17,23,25,32,34,43,47,48
10,14,17,22,23,28,36,38,41,49
6,8,14,18,25,29,31,32,45,47
19,20,21,28,31,34,35,39,44,49
1,9,13,21,24,27,29,33,34,49
0,3,13,24,26,28,36,38,47,49
8,14,17,19,22,29,30,38,43,49
3,7,15,17,30,33,34,35,37,41
5,12,13,17,20,21,27,32,42,46
2,11,25,31,34,35,38,39,46,48
10,15,16,18,20,22,26,27,28,39
9,13,17,20,21,24,25,36,42,44
5,6,9,12,22,31,35,36,43,48
2,3,7,24,27,29,31,32,37,38
1,8,11,26,36,37,38,44,45,46
11,23,28,32,33,35,36,38,45,48
0,1,2,7,8,9,12,35,39,45
3,11,19,21,28,29,30,43,45,46
4,7,18,30,36,40,42,43,46,49
4,9,11,12,32,34,39,40,43,49
4,5,9,12,18,22,37,38,42,45
2,7,11,13,21,25,33,40,44,47
1,2,16,28,29,31,37,41,42,49
5,6,12,14,26,34,36,42,43,47
1,3,10,12,22,30,31,33,42,48
6,11,15,24,27,31,35,37,38,40
0,5,9,11,14,26,30,33,39,41
2,4,6,11,16,18,23,30,34,42
3,5,7,14,18,23,35,39,40,44
7,8,18,19,25,27,28,33,43,47
0,3,4,10,13,14,23,25,26,46
1,3,9,14,16,20,33,38,46,47
5,8,16,22,25,27,30,32,40,49
1,4,5,8,10,20,24,28,40,45
4,8,10,13,16,17,26,29,44,48
2,6,12,13,15,16,19,24,39,41
0,8,14,15,21,23,26,39,40,48
2,6,7,10,14,15,16,21,26,32
4,10,11,17,20,27,29,36,37,44
0,19,20,22,26,29,33,34,37,46
0,2,8,23,27,36,42,43,44,46
9,12,19,21,23,24,25,28,41,44
1,7,13,18,19,20,24,30,41,48
4,12,15,22,29,35,39,41,42,47
0,3,15,16,17,18,21,34,48,49
9,10,15,18,19,31,32,40,41,47
0,1,3,6,22,24,30,32,44,46
0,1,10,13,16,25,35,37,43,45
2,4,5,6,7,19,20,23,33,45
