2,5,14,16,21,22,25,28,32,34,38,39,41,47,49
2,4,17,21,25,28,31,32,33,37,39,43,44,45,49
0,1,3,5,11,18,23,25,27,36,40,41,46,47,48
2,7,10,17,19,20,23,24,28,35,36,39,43,45,49
1,8,10,11,13,15,20,24,27,28,30,42,43,46,47
0,2,9,12,14,16,17,19,20,32,33,35,42,45,48
8,9,12,17,21,24,28,31,37,38,40,41,42,46,48
3,10,15,18,24,25,27,29,30,35,37,40,45,47,48
4,6,9,12,13,14,16,18,23,25,27,33,34,37,38
5,6,8,10,16,20,21,24,29,31,32,36,43,44,45
3,4,7,9,16,17,18,25,26,29,30,31,35,38,40
2,4,13,21,22,30,34,36,39,40,41,43,44,46,48
5,6,8,14,15,16,18,21,22,23,24,27,30,44,48
4,8,11,14,18,19,20,28,29,30,31,35,38,44,47
0,5,8,12,13,15,17,20,23,24,29,31,39,43,45
4,7,12,14,23,26,28,31,32,36,37,43,46,48,49
0,5,8,9,10,12,18,23,29,32,39,41,43,47,48
1,3,5,6,10,14,21,25,26,32,36,37,41,43,45
2,7,8,10,12,13,16,19,27,28,32,33,34,46,49
3,5,13,18,21,22,23,26,27,34,41,42,44,47,49
3,4,5,9,13,14,26,27,29,33,36,37,40,45,48
0,1,6,9,11,12,17,19,30,31,33,34,37,43,44
0,11,12,19,23,29,33,34,35,36,39,46,47,48,49
2,3,8,12,14,15,16,19,22,25,26,29,30,34,43
3,4,6,7,9,12,14,26,27,33,37,38,40,43,44
0,1,2,7,8,10,17,23,34,37,39,40,44,46,49
10,15,17,19,20,23,24,30,31,35,38,40,42,44,47
2,4,7,8,12,18,19,20,24,31,35,37,38,42,49
0,1,3,4,6,13,15,18,29,30,33,34,39,41,49
7,9,10,13,14,16,20,22,23,28,36,41,42,46,48
4,7,10,11,12,13,21,23,26,28,31,32,39,44,49
1,6,9,10,13,14,15,21,26,27,30,32,36,40,47
0,1,5,9,15,16,17,18,30,31,35,38,40,44,45
1,5,8,18,20,21,22,24,28,38,41,42,45,48,49
0,8,11,18,19,21,22,23,25,28,36,37,42,45,46
3,5,7,10,13,22,26,27,32,39,40,42,44,46,47
2,3,9,11,15,17,20,22,29,31,34,42,45,47,49
1,6,7,8,15,17,20,21,24,25,27,34,40,43,46
0,6,8,10,13,24,26,27,32,33,39,41,42,43,45
0,1,3,11,14,16,22,25,28,30,35,38,40,42,47
2,6,7,10,11,20,24,25,26,31,32,35,37,39,41
0,2,6,11,16,17,19,28,29,33,38,40,42,45,46
4,5,6,19,26,27,29,33,34,35,36,38,39,41,48
1,3,4,9,11,14,15,16,17,21,23,24,37,38,47
1,9,11,12,13,19,21,24,25,26,30,32,35,45,49
1,3,5,7,9,14,17,20,32,33,34,36,38,41,44
2,4,6,11,15,18,22,25,29,34,35,37,41,47,48
0,2,4,7,13,16,19,22,26,31,35,36,39,43,46
2,5,6,7,11,12,15,16,20,22,29,33,42,46,49
0,1,3,15,18,19,22,25,27,28,30,33,36,44,48
