6,13,17,18,24,27,31,36,43,44,47,49
7,8,9,13,19,20,22,28,31,37,40,47
6,11,16,18,26,29,30,33,35,39,40,44
7,8,11,14,18,23,30,31,34,36,39,46
5,7,10,11,12,16,17,21,25,39,46,49
4,15,19,25,29,35,36,37,39,43,45,47
0,2,12,20,25,29,31,33,38,39,43,48
1,3,4,13,14,15,16,33,36,40,44,46
1,3,13,17,18,20,23,31,36,37,42,45
1,14,15,19,21,28,38,40,41,46,47,48
4,16,18,22,23,33,34,43,44,45,46,49
2,3,4,12,13,14,18,23,24,29,38,48
4,6,11,17,22,24,26,28,34,35,46,48
0,1,7,8,11,14,25,32,40,47,48,49
3,7,9,11,13,27,28,34,35,42,43,46
5,7,9,16,23,24,29,32,33,41,45,47
2,4,7,10,15,25,28,29,32,36,42,46
0,4,8,12,19,20,23,28,29,30,36,41
0,2,3,8,10,11,21,26,27,46,47,49
1,5,9,17,22,23,27,29,31,41,47,48
1,6,8,17,24,25,26,27,28,30,41,43
4,9,18,22,23,33,36,38,42,43,45,49
1,10,12,19,21,30,32,35,37,39,43,45
3,8,10,11,15,17,19,21,31,32,38,40
0,11,12,15,20,25,26,30,31,37,41,43
4,5,6,13,16,20,24,27,31,45,46,49
2,12,18,20,24,30,31,35,36,39,41,48
0,14,18,19,20,25,28,30,32,37,42,46
1,9,12,14,16,17,20,27,34,38,39,44
2,5,6,11,15,16,17,19,33,35,40,44
2,3,17,20,22,24,26,27,37,42,47,48
0,1,3,6,8,19,23,24,25,26,35,42
13,15,16,22,23,27,33,34,37,41,43,45
2,6,7,10,15,21,29,32,34,37,40,43
3,10,12,14,28,32,33,38,43,45,47,49
2,5,12,14,22,26,29,31,38,39,42,44
0,3,5,7,8,16,17,21,26,37,38,41
1,5,8,22,24,27,30,32,33,36,40,44
6,9,11,21,23,28,34,35,36,42,46,49
2,3,4,5,6,22,26,28,35,40,44,48
1,2,7,9,13,23,29,33,37,39,45,48
9,15,17,19,20,24,26,32,36,42,44,49
8,14,16,21,27,30,31,35,38,41,48,49
0,5,6,10,14,20,21,22,24,32,33,34
0,2,7,10,28,29,35,37,39,41,47,49
5,8,10,15,21,22,25,32,34,40,47,48
3,4,7,9,10,12,14,16,18,25,27,38
0,1,5,9,13,15,18,19,30,34,44,45
6,9,11,12,13,19,26,30,39,40,42,45
0,4,10,13,18,21,25,34,38,41,42,44
