node,extreme,spl
0,49,2
1,0,1
1,49,2
2,0,1
2,49,1
3,0,1
3,49,2
4,0,2
4,49,2
5,0,2
5,49,2
6,0,2
6,49,3
7,0,3
7,49,3
8,0,3
8,49,3
9,0,3
9,49,4
10,0,4
10,49,4
11,0,4
11,49,4
12,0,4
12,49,4
13,0,4
13,49,3
14,0,4
14,49,3
15,0,3
15,49,3
16,0,3
16,49,2
17,0,3
17,49,2
18,0,2
18,49,2
19,0,3
19,49,1
20,0,2
20,49,2
21,0,1
21,49,3
22,0,2
22,49,2
23,0,2
23,49,3
24,0,2
24,49,3
25,0,3
25,49,3
26,0,3
26,49,4
27,0,3
27,49,3
28,0,4
28,49,3
29,0,3
29,49,3
30,0,3
30,49,2
31,0,3
31,49,2
32,0,2
32,49,2
33,0,3
33,49,1
34,0,2
34,49,2
35,0,1
35,49,3
36,0,2
36,49,2
37,0,2
37,49,3
38,0,2
38,49,3
39,0,3
39,49,3
40,0,3
40,49,3
41,0,3
41,49,3
42,0,3
42,49,3
43,0,3
43,49,2
44,0,3
44,49,2
45,0,2
45,49,2
46,0,2
46,49,1
47,0,2
47,49,1
48,0,1
48,49,1
49,0,2
