node,extreme,spl
0,49,1
1,0,1
1,49,2
2,0,2
2,49,3
3,0,1
3,49,2
4,0,2
4,49,3
5,0,2
5,49,3
6,0,2
6,49,3
7,0,3
7,49,4
8,0,3
8,49,3
9,0,3
9,49,4
10,0,3
10,49,2
11,0,4
11,49,4
12,0,4
12,49,3
13,0,3
13,49,3
14,0,3
14,49,4
15,0,3
15,49,4
16,0,2
16,49,3
17,0,3
17,49,4
18,0,3
18,49,4
19,0,1
19,49,2
20,0,2
20,49,3
21,0,3
21,49,4
22,0,2
22,49,3
23,0,3
23,49,4
24,0,3
24,49,3
25,0,3
25,49,3
26,0,4
26,49,3
27,0,3
27,49,2
28,0,4
28,49,3
29,0,3
29,49,2
30,0,2
30,49,1
31,0,4
31,49,3
32,0,4
32,49,3
33,0,3
33,49,2
34,0,4
34,49,3
35,0,4
35,49,3
36,0,3
36,49,3
37,0,3
37,49,4
38,0,2
38,49,3
39,0,4
39,49,4
40,0,3
40,49,3
41,0,4
41,49,3
42,0,4
42,49,3
43,0,3
43,49,2
44,0,3
44,49,2
45,0,3
45,49,2
46,0,2
46,49,1
47,0,3
47,49,2
48,0,2
48,49,1
49,0,1
