16,27,29,30,36
7,11,14,36,39
8,12,14,32,47
10,12,24,36,38
21,31,39,45,47
18,32,35,37,38
7,16,38,44,47
1,6,24,32,45
2,10,18,19,20
19,22,39,42,44
3,8,11,22,37
1,10,21,29,42
2,3,35,45,49
26,32,42,48,49
1,2,22,31,34
16,20,21,46,49
0,6,15,28,31
25,30,31,37,48
5,8,25,26,36
8,9,29,41,48
8,15,23,24,40
4,11,15,27,35
9,10,14,40,49
20,26,31,38,41
3,7,20,28,30
17,18,27,44,49
13,18,23,28,45
0,21,25,40,41
16,24,26,34,37
0,11,19,38,46
0,17,24,42,47
4,14,16,17,23
2,5,7,13,41
34,36,41,42,43
14,28,33,44,48
5,12,21,43,48
0,1,3,18,33
5,10,17,28,39
3,5,6,23,29
1,4,9,37,43
20,22,27,43,47
19,23,27,32,33
9,11,13,30,33
33,35,39,40,46
6,9,25,34,46
4,7,12,26,46
15,29,43,44,45
2,4,6,30,40
13,17,19,34,35
12,13,15,22,25
