node,extreme,spl
0,49,3
1,0,3
1,49,2
2,0,3
2,49,1
3,0,2
3,49,3
4,0,3
4,49,3
5,0,2
5,49,2
6,0,2
6,49,3
7,0,3
7,49,2
8,0,3
8,49,3
9,0,2
9,49,3
10,0,3
10,49,2
11,0,3
11,49,3
12,0,2
12,49,1
13,0,3
13,49,3
14,0,3
14,49,3
15,0,3
15,49,1
16,0,3
16,49,3
17,0,3
17,49,3
18,0,3
18,49,1
19,0,1
19,49,3
20,0,3
20,49,3
21,0,2
21,49,3
22,0,3
22,49,3
23,0,3
23,49,3
24,0,1
24,49,3
25,0,2
25,49,2
26,0,3
26,49,3
27,0,2
27,49,3
28,0,3
28,49,2
29,0,3
29,49,3
30,0,3
30,49,3
31,0,2
31,49,3
32,0,3
32,49,3
33,0,3
33,49,3
34,0,3
34,49,2
35,0,3
35,49,2
36,0,3
36,49,3
37,0,2
37,49,3
38,0,3
38,49,3
39,0,1
39,49,3
40,0,3
40,49,3
41,0,2
41,49,2
42,0,3
42,49,3
43,0,3
43,49,3
44,0,1
44,49,2
45,0,3
45,49,2
46,0,3
46,49,3
47,0,2
47,49,3
48,0,3
48,49,2
49,0,3
