13,33,37,38,40,42,45,48
8,10,14,24,30,35,48,49
9,17,18,21,30,36,48,49
10,13,20,21,26,27,33,34
7,10,16,28,32,36,38,44
6,8,13,15,27,29,30,44
5,18,31,34,37,38,46,49
4,28,30,31,35,42,46,47
1,5,18,23,26,32,42,43
2,20,25,29,38,43,46,48
1,3,4,15,21,23,40,46
13,19,22,32,36,39,46,49
25,26,30,32,33,39,40,49
0,3,5,11,24,30,34,46
1,16,19,20,22,30,37,44
5,10,20,25,31,36,42,49
4,14,17,25,26,27,45,46
2,16,19,24,34,40,42,44
2,6,8,33,41,42,44,46
11,14,17,23,28,29,31,33
3,9,14,15,32,34,41,42
2,3,10,22,27,37,39,47
11,14,21,31,39,40,43,44
8,10,19,30,38,41,43,45
1,13,17,25,31,38,41,47
9,12,15,16,24,33,43,47
3,8,12,16,29,31,36,38
3,5,16,21,28,39,41,48
4,7,19,27,29,41,43,49
5,9,19,26,28,35,40,47
1,2,5,7,12,13,14,23
6,7,15,19,22,24,26,48
4,8,11,12,20,34,47,48
0,3,12,18,19,25,35,44
3,6,13,17,20,32,35,43
1,7,29,33,34,36,39,45
2,4,11,15,26,35,37,41
0,6,14,21,36,40,43,47
0,4,6,9,23,24,26,39
11,12,21,22,27,35,38,42
0,10,12,17,22,29,37,41
18,20,23,24,27,28,36,40
0,7,8,15,17,18,20,39
8,9,22,23,25,28,34,37
4,5,14,17,18,22,33,45
0,16,23,35,44,47,48,49
6,7,9,10,11,13,16,18
7,21,24,25,29,32,37,45
0,1,2,9,27,31,32,45
1,2,6,11,12,15,28,45
