node,extreme,spl
0,49,1
1,0,1
1,49,2
2,0,1
2,49,2
3,0,1
3,49,2
4,0,1
4,49,2
5,0,2
5,49,3
6,0,2
6,49,3
7,0,2
7,49,3
8,0,3
8,49,4
9,0,3
9,49,4
10,0,3
10,49,4
11,0,4
11,49,5
12,0,4
12,49,5
13,0,4
13,49,5
14,0,5
14,49,6
15,0,5
15,49,6
16,0,5
16,49,6
17,0,6
17,49,7
18,0,6
18,49,7
19,0,6
19,49,7
20,0,7
20,49,8
21,0,7
21,49,8
22,0,7
22,49,8
23,0,8
23,49,8
24,0,8
24,49,8
25,0,8
25,49,8
26,0,8
26,49,7
27,0,8
27,49,7
28,0,8
28,49,7
29,0,7
29,49,6
30,0,7
30,49,6
31,0,7
31,49,6
32,0,6
32,49,5
33,0,6
33,49,5
34,0,6
34,49,5
35,0,5
35,49,4
36,0,5
36,49,4
37,0,5
37,49,4
38,0,4
38,49,3
39,0,4
39,49,3
40,0,4
40,49,3
41,0,3
41,49,2
42,0,3
42,49,2
43,0,3
43,49,2
44,0,2
44,49,1
45,0,2
45,49,1
46,0,2
46,49,1
47,0,1
47,49,1
48,0,2
48,49,1
49,0,1
