1,2,0,20,0,36
1,2,1,3,0,46
1,0,1,1,1,5
1,1,1,4,0,45
1,3,1,5,1,6
1,2,1,4,1,8
1,4,1,7,1,9
1,6,1,8,0,48
1,5,1,7,1,10
1,6,1,10,1,12
1,8,1,9,1,11
1,10,1,13,1,14
1,9,1,14,1,15
1,11,1,15,1,16
1,11,1,12,1,17
1,12,1,13,1,18
1,13,1,17,1,19
1,14,1,16,1,18
1,15,1,17,1,20
1,16,1,22,0,49
0,0,1,18,1,21
1,20,1,22,1,23
1,19,1,21,1,25
1,21,1,24,1,26
1,23,1,25,1,26
1,22,1,24,1,27
1,23,1,24,1,28
1,25,1,28,1,30
1,26,1,27,1,29
1,28,1,31,1,32
1,27,1,31,1,33
1,29,1,30,1,32
1,29,1,31,1,34
1,30,1,34,1,36
1,32,1,33,1,35
1,34,1,37,0,49
0,0,1,33,1,39
1,35,1,38,1,40
1,37,1,39,1,41
1,36,1,38,1,42
1,37,1,41,1,42
1,38,1,40,1,44
1,39,1,40,1,43
1,42,1,44,1,45
1,41,1,43,1,46
0,3,1,43,1,47
0,1,1,44,1,47
1,45,1,46,1,48
0,7,1,47,1,49
0,19,0,35,1,48
