1,5,0,15,0,23,0,29,0,30
0,10,0,33,0,43,0,45,0,47
0,10,0,32,0,36,0,38,0,39
0,7,0,22,0,24,0,26,0,47
0,27,0,34,0,40,0,42,0,47
0,0,0,20,0,32,0,33,0,36
0,21,0,38,0,39,0,46,0,49
0,3,1,9,0,15,0,16,0,41
1,9,0,22,0,28,0,44,0,48
1,7,1,8,0,17,0,34,0,35
0,1,0,2,0,22,0,35,0,36
1,14,0,28,0,38,0,40,0,46
0,17,0,20,0,24,0,29,0,31
1,15,0,21,0,33,0,43,0,46
1,11,0,23,0,24,0,39,0,48
0,0,0,7,1,13,1,18,0,48
0,7,0,27,0,37,0,41,0,49
0,9,0,12,1,18,1,20,0,44
1,15,1,17,1,19,0,35,0,48
1,18,1,20,0,26,0,43,0,49
0,5,0,12,1,17,1,19,0,26
0,6,0,13,0,37,0,39,0,41
0,3,0,8,0,10,0,31,0,45
0,0,0,14,0,27,0,34,0,38
0,3,0,12,0,14,0,43,0,46
0,30,0,32,0,45,0,48,0,49
0,3,0,19,0,20,0,30,0,34
0,4,0,16,0,23,0,32,0,37
0,8,0,11,1,31,0,34,0,42
0,0,0,12,1,31,0,37,0,44
0,0,0,25,0,26,0,39,0,41
0,12,0,22,1,28,1,29,0,40
0,2,0,5,0,25,0,27,0,40
0,1,0,5,0,13,0,42,0,46
0,4,0,9,0,23,0,26,0,28
0,9,0,10,0,18,1,38,0,44
0,2,0,5,0,10,0,45,0,47
0,16,0,21,0,27,0,29,0,45
0,2,0,6,0,11,0,23,1,35
0,2,0,6,0,14,0,21,0,30
0,4,0,11,0,31,0,32,1,42
0,7,0,16,0,21,0,30,1,42
0,4,0,28,0,33,1,40,1,41
0,1,0,13,0,19,0,24,0,47
0,8,0,17,0,29,0,35,0,49
0,1,0,22,0,25,0,36,0,37
0,6,0,11,0,13,0,24,0,33
0,1,0,3,0,4,0,36,0,43
0,8,0,14,0,15,0,18,0,25
0,6,0,16,0,19,0,25,1,44
