18,21,26,29
6,38,40,45
26,30,42,49
9,24,28,41
5,17,21,46
4,27,30,41
1,10,17,43
13,16,23,30
40,46,47,49
3,31,42,45
6,15,26,33
19,31,32,33
20,22,42,47
7,20,40,44
26,35,44,46
10,27,47,48
7,18,31,43
4,6,24,39
0,16,34,45
11,25,29,39
12,13,21,33
0,4,20,36
12,35,41,43
7,35,39,48
3,17,34,44
19,27,37,44
0,2,10,14
5,15,25,45
3,33,48,49
0,19,40,41
2,5,7,32
9,11,16,46
11,30,34,38
10,11,20,28
18,24,32,47
14,22,23,38
21,37,38,48
25,36,43,49
1,32,35,36
17,19,23,42
1,8,13,29
3,5,22,29
2,9,12,39
6,16,22,37
13,14,24,25
1,9,18,27
4,8,14,31
8,12,15,34
15,23,28,36
2,8,28,37
