14,21,31,39
3,7,15,16
10,20,25,43
1,10,37,41
27,40,41,45
6,32,42,46
5,17,27,47
1,14,24,33
9,23,43,45
8,19,21,29
2,3,17,31
31,32,34,35
18,24,37,39
19,22,46,48
0,7,27,44
1,19,27,34
1,26,30,42
6,10,29,38
12,34,47,49
9,13,15,20
2,19,28,39
0,9,42,49
13,26,31,40
8,36,37,44
7,12,29,40
2,36,40,42
16,22,44,47
4,6,14,15
20,32,41,44
9,17,24,32
16,38,39,45
0,10,11,22
5,11,28,29
7,35,43,48
11,15,18,36
11,33,45,46
23,25,34,38
3,12,23,46
17,30,36,48
0,12,20,30
4,22,24,25
3,4,28,49
5,16,21,25
2,8,33,47
14,23,26,28
4,8,30,35
5,13,35,37
6,18,26,43
13,33,38,49
18,21,41,48
