node,extreme,spl
0,49,1
1,0,2
1,49,3
2,0,1
2,49,2
3,0,2
3,49,3
4,0,2
4,49,3
5,0,2
5,49,3
6,0,3
6,49,3
7,0,3
7,49,2
8,0,3
8,49,2
9,0,3
9,49,3
10,0,2
10,49,1
11,0,3
11,49,2
12,0,2
12,49,3
13,0,2
13,49,2
14,0,3
14,49,3
15,0,1
15,49,2
16,0,3
16,49,3
17,0,2
17,49,3
18,0,2
18,49,2
19,0,3
19,49,3
20,0,3
20,49,3
21,0,2
21,49,1
22,0,3
22,49,2
23,0,3
23,49,2
24,0,2
24,49,2
25,0,2
25,49,3
26,0,3
26,49,3
27,0,1
27,49,2
28,0,2
28,49,3
29,0,3
29,49,3
30,0,2
30,49,3
31,0,3
31,49,3
32,0,3
32,49,2
33,0,3
33,49,3
34,0,2
34,49,1
35,0,3
35,49,2
36,0,3
36,49,2
37,0,3
37,49,2
38,0,3
38,49,3
39,0,2
39,49,3
40,0,2
40,49,3
41,0,2
41,49,3
42,0,1
42,49,2
43,0,3
43,49,3
44,0,3
44,49,2
45,0,2
45,49,2
46,0,3
46,49,2
47,0,3
47,49,2
48,0,2
48,49,1
49,0,1
