node,extreme,spl
0,49,2
1,0,4
1,49,5
2,0,3
2,49,4
3,0,4
3,49,4
4,0,4
4,49,3
5,0,4
5,49,2
6,0,3
6,49,1
7,0,3
7,49,4
8,0,3
8,49,1
9,0,2
9,49,4
10,0,3
10,49,4
11,0,4
11,49,3
12,0,1
12,49,3
13,0,4
13,49,4
14,0,2
14,49,4
15,0,3
15,49,4
16,0,4
16,49,4
17,0,4
17,49,3
18,0,4
18,49,2
19,0,3
19,49,4
20,0,2
20,49,4
21,0,4
21,49,3
22,0,4
22,49,4
23,0,3
23,49,5
24,0,4
24,49,5
25,0,4
25,49,4
26,0,2
26,49,4
27,0,4
27,49,3
28,0,3
28,49,4
29,0,4
29,49,2
30,0,5
30,49,3
31,0,4
31,49,4
32,0,4
32,49,4
33,0,5
33,49,5
34,0,4
34,49,4
35,0,3
35,49,3
36,0,4
36,49,4
37,0,1
37,49,1
38,0,2
38,49,2
39,0,3
39,49,4
40,0,1
40,49,3
41,0,4
41,49,2
42,0,4
42,49,3
43,0,5
43,49,4
44,0,4
44,49,4
45,0,4
45,49,4
46,0,3
46,49,3
47,0,5
47,49,4
48,0,4
48,49,3
49,0,2
