1,12,20,28
0,2,3,43
1,6,40,49
1,4,5,14
3,5,6,29
3,4,6,7
2,4,5,8
5,8,9,30
6,7,9,10
7,8,10,11
8,9,11,12
9,10,13,48
0,10,13,47
11,12,14,15
3,13,16,32
13,16,17,21
14,15,17,18
15,16,18,45
16,17,19,20
18,21,36,49
0,18,22,34
15,19,22,23
20,21,23,24
21,22,24,25
22,23,25,26
23,24,26,27
24,25,27,31
25,26,28,29
0,27,30,38
4,27,30,33
7,28,29,31
26,30,32,49
14,31,33,34
29,32,34,35
20,32,33,35
33,34,36,37
19,35,37,38
35,36,38,39
28,36,37,39
37,38,40,41
2,39,41,42
39,40,42,43
40,41,43,44
1,41,42,44
42,43,45,46
17,44,46,47
44,45,47,48
12,45,46,48
11,46,47,49
2,19,31,48
