3,5,6,8,10,21,29,30,31,32,34,37,40,44,45,46
2,4,6,8,9,12,15,16,17,24,27,29,36,37,38,42
1,4,5,6,18,21,24,28,30,31,36,38,40,43,47,49
0,9,10,12,16,23,24,25,26,29,30,33,35,38,46,48
1,2,7,13,14,16,20,24,28,33,37,38,39,41,44,45
0,2,7,13,14,20,22,25,28,31,35,38,40,43,45,47
0,1,2,9,12,13,14,19,24,34,36,39,43,47,48,49
4,5,12,17,20,21,25,26,27,30,34,38,40,42,43,48
0,1,10,11,17,18,20,24,27,30,31,32,33,39,41,42
1,3,6,10,11,16,17,21,25,26,27,28,34,37,40,46
0,3,8,9,16,21,22,23,24,26,29,35,40,42,46,48
8,9,14,15,16,17,29,32,33,35,36,40,45,46,47,49
1,3,6,7,13,14,18,21,27,28,29,32,33,42,47,48
4,5,6,12,18,20,23,25,28,30,33,35,39,41,46,48
4,5,6,11,12,16,20,21,23,26,31,35,38,40,46,49
1,11,17,21,22,23,25,28,29,31,32,33,34,40,45,47
1,3,4,9,10,11,14,17,19,27,30,36,37,39,41,42
1,7,8,9,11,15,16,18,19,29,31,39,41,42,43,46
2,8,12,13,17,22,24,25,26,27,29,38,39,40,43,44
6,16,17,22,23,26,27,32,37,40,43,44,45,46,48,49
4,5,7,8,13,14,22,26,29,31,33,34,43,45,46,48
0,2,7,9,10,12,14,15,23,27,29,34,35,37,40,44
5,10,15,18,19,20,25,30,34,38,39,41,43,44,47,49
3,10,13,14,15,19,21,25,27,28,29,34,36,40,45,49
1,2,3,4,6,8,10,18,25,33,36,39,40,41,48,49
3,5,7,9,13,15,18,22,23,24,26,30,41,44,45,49
3,7,9,10,14,18,19,20,25,28,30,35,36,37,44,49
1,7,8,9,12,16,18,19,21,23,28,30,31,37,38,49
2,4,5,9,12,13,15,23,26,27,32,38,39,41,43,45
0,1,3,10,11,12,15,17,18,20,21,23,32,36,40,44
0,2,3,7,8,13,16,22,25,26,27,31,36,37,44,47
0,2,5,8,14,15,17,20,27,30,34,41,45,46,48,49
0,8,11,12,15,19,28,29,35,37,41,43,44,45,47,49
3,4,8,11,12,13,15,20,24,34,36,39,42,43,44,48
0,6,7,9,15,20,21,22,23,31,33,36,39,41,42,46
3,5,10,11,13,14,21,26,32,39,42,44,46,47,48,49
1,2,6,11,16,23,24,26,29,30,33,34,41,43,45,48
0,1,4,9,16,19,21,26,27,30,32,38,42,46,47,49
1,2,3,4,5,7,14,18,22,27,28,37,42,43,46,49
4,6,8,13,16,17,18,22,24,28,33,34,35,43,44,47
0,2,5,7,9,10,11,14,15,18,19,21,23,24,29,47
4,8,13,16,17,22,24,25,28,31,32,34,36,43,44,48
1,7,8,10,12,16,17,33,34,35,37,38,45,46,47,48
2,5,6,7,17,18,19,20,22,28,32,33,36,38,39,41
0,4,18,19,21,22,25,26,29,30,32,33,35,39,41,45
0,4,5,11,15,19,20,23,25,28,31,32,36,42,44,47
0,3,9,10,11,13,14,17,19,20,31,34,35,37,38,42
2,5,6,11,12,15,22,30,32,35,37,39,40,42,45,48
3,6,7,10,12,13,19,20,24,31,33,35,36,41,42,47
2,6,11,14,19,22,23,24,25,26,27,31,32,35,37,38
