node,extreme,spl
0,49,1
1,0,1
1,49,2
2,0,1
2,49,2
3,0,1
3,49,2
4,0,2
4,49,3
5,0,2
5,49,3
6,0,2
6,49,3
7,0,3
7,49,4
8,0,3
8,49,4
9,0,4
9,49,5
10,0,4
10,49,5
11,0,4
11,49,5
12,0,5
12,49,6
13,0,5
13,49,6
14,0,6
14,49,7
15,0,6
15,49,7
16,0,6
16,49,7
17,0,7
17,49,8
18,0,7
18,49,8
19,0,8
19,49,9
20,0,8
20,49,9
21,0,9
21,49,10
22,0,9
22,49,10
23,0,9
23,49,10
24,0,10
24,49,10
25,0,10
25,49,9
26,0,10
26,49,10
27,0,11
27,49,10
28,0,9
28,49,8
29,0,10
29,49,9
30,0,9
30,49,8
31,0,8
31,49,7
32,0,8
32,49,7
33,0,7
33,49,6
34,0,7
34,49,6
35,0,6
35,49,5
36,0,6
36,49,5
37,0,6
37,49,5
38,0,5
38,49,4
39,0,6
39,49,5
40,0,5
40,49,4
41,0,4
41,49,3
42,0,4
42,49,3
43,0,3
43,49,2
44,0,3
44,49,2
45,0,3
45,49,2
46,0,2
46,49,1
47,0,2
47,49,1
48,0,2
48,49,1
49,0,1
