node,extreme,spl
0,49,1
1,0,1
1,49,2
2,0,2
2,49,3
3,0,2
3,49,3
4,0,3
4,49,4
5,0,3
5,49,4
6,0,3
6,49,4
7,0,4
7,49,5
8,0,4
8,49,5
9,0,4
9,49,5
10,0,5
10,49,6
11,0,5
11,49,6
12,0,5
12,49,6
13,0,5
13,49,6
14,0,4
14,49,5
15,0,4
15,49,5
16,0,5
16,49,5
17,0,4
17,49,5
18,0,3
18,49,4
19,0,3
19,49,4
20,0,2
20,49,3
21,0,1
21,49,2
22,0,3
22,49,4
23,0,2
23,49,3
24,0,3
24,49,4
25,0,4
25,49,5
26,0,4
26,49,5
27,0,4
27,49,5
28,0,5
28,49,5
29,0,5
29,49,5
30,0,5
30,49,5
31,0,5
31,49,4
32,0,4
32,49,3
33,0,5
33,49,4
34,0,3
34,49,2
35,0,4
35,49,3
36,0,5
36,49,4
37,0,5
37,49,4
38,0,6
38,49,5
39,0,6
39,49,5
40,0,5
40,49,4
41,0,5
41,49,4
42,0,4
42,49,3
43,0,4
43,49,3
44,0,3
44,49,2
45,0,3
45,49,2
46,0,2
46,49,1
47,0,3
47,49,2
48,0,2
48,49,1
49,0,1
