0,0.0359874,0.922859
2,0.0352312,0.922859
3,0.0260134,0.922859
4,0.000128095,0.922859
26,8.38513e-05,0.922859
44,8.38513e-05,0.904957
46,8.38513e-05,0.891191
60,4.98451e-05,0.891191
85,4.98451e-05,0.828886
101,4.98451e-05,0.81028
162,4.98451e-05,0.769795
326,4.98451e-05,0.752292
331,4.98451e-05,0.741652
333,4.98451e-05,0.74137
334,4.98451e-05,0.740111
337,4.98451e-05,0.731671
338,4.98451e-05,0.731669
340,4.98451e-05,0.722974
341,4.98451e-05,0.722932
347,4.98451e-05,0.722843
352,4.98451e-05,0.722816
356,4.98451e-05,0.685803
398,4.98451e-05,0.647263
417,4.98451e-05,0.555737
759,4.98451e-05,0.522674
824,4.98451e-05,0.441803
