node,extreme,spl
0,49,4
1,0,4
1,49,4
2,0,4
2,49,4
3,0,5
3,49,4
4,0,3
4,49,3
5,0,4
5,49,4
6,0,1
6,49,4
7,0,3
7,49,3
8,0,1
8,49,5
9,0,3
9,49,4
10,0,4
10,49,3
11,0,3
11,49,5
12,0,2
12,49,3
13,0,3
13,49,4
14,0,4
14,49,4
15,0,4
15,49,3
16,0,5
16,49,3
17,0,4
17,49,2
18,0,2
18,49,5
19,0,4
19,49,3
20,0,3
20,49,1
21,0,4
21,49,4
22,0,3
22,49,4
23,0,4
23,49,1
24,0,4
24,49,4
25,0,1
25,49,3
26,0,2
26,49,2
27,0,4
27,49,5
28,0,4
28,49,2
29,0,4
29,49,4
30,0,5
30,49,2
31,0,4
31,49,4
32,0,5
32,49,1
33,0,3
33,49,4
34,0,4
34,49,3
35,0,3
35,49,3
36,0,4
36,49,2
37,0,2
37,49,4
38,0,4
38,49,4
39,0,4
39,49,4
40,0,3
40,49,4
41,0,2
41,49,4
42,0,3
42,49,2
43,0,4
43,49,4
44,0,2
44,49,4
45,0,3
45,49,4
46,0,4
46,49,3
47,0,4
47,49,4
48,0,4
48,49,3
49,0,4
