3,27,29,36
7,15,27,32
4,11,34,37
0,31,33,37
2,8,19,39
9,13,15,35
17,21,27,34
1,9,11,28
4,22,37,38
5,7,33,38
32,39,41,42
2,7,22,46
14,30,43,47
5,16,27,49
12,19,26,33
1,5,35,40
13,20,34,48
6,18,21,25
17,40,43,45
4,14,24,39
16,24,37,41
6,17,30,31
8,11,23,49
22,29,30,35
19,20,46,47
17,28,42,44
14,45,47,49
0,1,6,13
7,25,38,44
0,23,39,43
12,21,23,34
3,21,40,42
1,10,35,48
3,9,14,41
2,6,16,30
5,15,23,32
0,44,45,46
2,3,8,20
8,9,28,44
4,10,19,29
15,18,31,48
10,20,33,45
10,25,31,49
12,18,29,47
25,28,36,38
18,26,36,41
11,24,36,48
12,24,26,43
16,32,40,46
13,22,26,42
