2,21,22,33,36,39
12,17,31,43,46,47
0,16,19,20,25,27
18,30,38,39,41,43
7,20,29,33,40,46
15,16,26,28,36,49
13,17,25,36,40,42
4,12,18,22,24,49
14,20,24,36,41,47
19,21,23,35,41,46
15,22,25,29,37,48
13,14,22,28,30,46
1,7,21,30,42,48
6,11,16,33,44,45
8,11,19,29,31,49
5,10,18,33,42,47
2,5,13,32,43,48
1,6,18,27,28,35
3,7,15,17,19,44
2,9,14,18,34,40
2,4,8,28,38,44
0,9,12,28,29,32
0,7,10,11,26,38
9,25,30,44,47,49
7,8,25,34,35,43
2,6,10,23,24,31
5,22,31,40,41,44
2,17,37,41,45,49
5,11,17,20,21,34
4,10,14,21,43,45
3,11,12,23,36,43
1,14,25,26,32,33
16,21,31,37,38,42
0,4,13,15,31,35
19,24,28,39,42,45
9,17,24,33,38,48
0,5,6,8,30,37
10,27,32,36,44,46
3,20,22,32,35,45
0,3,34,46,48,49
4,6,19,26,47,48
3,8,9,26,27,42
6,12,15,32,34,41
1,3,16,24,29,30
13,18,20,23,26,37
13,27,29,34,38,47
1,4,9,11,37,39
1,8,15,23,40,45
10,12,16,35,39,40
5,7,14,23,27,39
